record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_a194d1ddce1875ce,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_50,post_10,comment,,,,BYD SEALION 7 PREMIUM RWD… Lihat selengkapnya,https://www.facebook.com/groups/1757639348184159,2026-09-18T03:16:26Z,raw_data_run_20260918_101427_89744d.csv,rec_a194d1ddce1875ce,False,BYD SEALION 7 PREMIUM RWD… Lihat selengkapnya,byd sealion 7 premium rwd… lihat selengkapnya,BYD Sealion 7,medium,explicit_text_alias_strong_but_context_XPeng_G6,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_f8e5b45bbe09937d,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,,,post,,,,"JASA PASANG DASH CAM
 Rp300 rb… Lihat selengkapnya",https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:45Z,raw_data_run_20260918_104118_296cf9.csv,rec_f8e5b45bbe09937d,False,JASA PASANG DASH CAM Rp300 rb… Lihat selengkapnya,jasa pasang dash cam rp300 rb… lihat selengkapnya,BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_ee14b86bb3b7dc0d,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_1,post_2,comment,,,,Ban mobil sealion 7 saya agak robek karena nabrak trotoar. Kalau beli ban yg original berapa harganya? Merek dan tipenya apa dan bisa dibeli dimana? Mohon arahannya. Thanks,https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:53Z,raw_data_run_20260918_104118_296cf9.csv,rec_ee14b86bb3b7dc0d,False,Ban mobil sealion 7 saya agak robek karena nabrak trotoar. Kalau beli ban yg original berapa harganya? Merek dan tipenya apa dan bisa dibeli dimana? Mohon arahannya. Thanks,ban mobil sealion 7 saya agak robek karena nabrak trotoar. kalau beli ban yg original berapa harganya? merek dan tipenya apa dan bisa dibeli dimana? mohon arahannya. thanks,BYD Sealion 7,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_82ecaa6132d55d76,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_2,post_2,comment,,,,Halo pak.. ban depan atau belakang..… Lihat selengkapnya,https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:53Z,raw_data_run_20260918_104118_296cf9.csv,rec_82ecaa6132d55d76,False,Halo pak.. ban depan atau belakang..… Lihat selengkapnya,halo pak.. ban depan atau belakang..… lihat selengkapnya,BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_cb0b4f67af7eed22,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_3,post_2,comment,,,,"JASA PASANG DASH CAM
 Rp300 rb… Lihat selengkapnya",https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:54Z,raw_data_run_20260918_104118_296cf9.csv,rec_cb0b4f67af7eed22,False,JASA PASANG DASH CAM Rp300 rb… Lihat selengkapnya,jasa pasang dash cam rp300 rb… lihat selengkapnya,BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_56c0cfc91d422979,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_4,post_2,comment,,,,JASA PASANG DASH CAM,https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:54Z,raw_data_run_20260918_104118_296cf9.csv,rec_56c0cfc91d422979,False,JASA PASANG DASH CAM,jasa pasang dash cam,BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_a6495351ffab5d3b,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_5,post_2,comment,,,,Rp300 rb… Lihat selengkapnya,https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:54Z,raw_data_run_20260918_104118_296cf9.csv,rec_a6495351ffab5d3b,False,Rp300 rb… Lihat selengkapnya,rp300 rb… lihat selengkapnya,BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_636f5b1cb2c19e66,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_6,post_2,comment,,,,Mud guard & fender guard BYD Sealion 7,https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:56Z,raw_data_run_20260918_104118_296cf9.csv,rec_636f5b1cb2c19e66,False,Mud guard & fender guard BYD Sealion 7,mud guard & fender guard byd sealion 7,BYD Sealion 7,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_617eb3b3f9f8bf1d,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_7,post_2,comment,,,,Pemasangan plug and play￼… Lihat selengkapnya,https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:56Z,raw_data_run_20260918_104118_296cf9.csv,rec_617eb3b3f9f8bf1d,False,Pemasangan plug and play￼… Lihat selengkapnya,pemasangan plug and play￼… lihat selengkapnya,BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_a31c0a4999fa7235,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_8,post_2,comment,,,,BYD sealion 7 spare tire storage  … Lihat selengkapnya,https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:56Z,raw_data_run_20260918_104118_296cf9.csv,rec_a31c0a4999fa7235,False,BYD sealion 7 spare tire storage … Lihat selengkapnya,byd sealion 7 spare tire storage … lihat selengkapnya,BYD Sealion 7,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_2468f36b3927c073,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_9,post_2,comment,,,,"Temen temen jangan kawatir ya , yang masih mau ngambil unit pake program kkb bca masih bisa ya guys
… Lihat selengkapnya",https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:57Z,raw_data_run_20260918_104118_296cf9.csv,rec_2468f36b3927c073,False,"Temen temen jangan kawatir ya , yang masih mau ngambil unit pake program kkb bca masih bisa ya guys … Lihat selengkapnya","temen temen jangan kawatir ya , yang masih mau ngambil unit pake program kkb bca masih bisa ya guys … lihat selengkapnya",BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_1d1cb2fa0d345ff7,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,post_2,post_2_comment_10,post_2,comment,,,,"Izin promosi
PT Elektrikal Tenaga Adidaya telah dipercaya menangani lebih dari 3.000 titik pemasangan di berbagai wilayah. Pengalaman tersebut menjadi bukti komitmen kami dalam menghadirkan layanan instalasi yang profesional, aman, dan berkualitas, didukung oleh tim yang berpengalaman serta mengutamakan standar pekerjaan terbaik.
Kami siap menjadi mitra terpercaya untuk kebutuhan instalasi Anda, mulai dari proses konsultasi hingga pemasangan yang rapi dan sesuai standar. De… Lihat selengkapnya",https://www.facebook.com/groups/1739202836885108,2026-09-18T03:41:59Z,raw_data_run_20260918_104118_296cf9.csv,rec_1d1cb2fa0d345ff7,False,"Izin promosi PT Elektrikal Tenaga Adidaya telah dipercaya menangani lebih dari 3.000 titik pemasangan di berbagai wilayah. Pengalaman tersebut menjadi bukti komitmen kami dalam menghadirkan layanan instalasi yang profesional, aman, dan berkualitas, didukung oleh tim yang berpengalaman serta mengutamakan standar pekerjaan terbaik. Kami siap menjadi mitra terpercaya untuk kebutuhan instalasi Anda, mulai dari proses konsultasi hingga pemasangan yang rapi dan sesuai standar. De… Lihat selengkapnya","izin promosi pt elektrikal tenaga adidaya telah dipercaya menangani lebih dari 3.000 titik pemasangan di berbagai wilayah. pengalaman tersebut menjadi bukti komitmen kami dalam menghadirkan layanan instalasi yang profesional, aman, dan berkualitas, didukung oleh tim yang berpengalaman serta mengutamakan standar pekerjaan terbaik. kami siap menjadi mitra terpercaya untuk kebutuhan instalasi anda, mulai dari proses konsultasi hingga pemasangan yang rapi dan sesuai standar. de… lihat selengkapnya",BYD Sealion 7,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
