record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_4d2dd2703dc83510,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,,,post,,,2026-09-21,"Harry Adi Pratama
  ·
1hari
Ada, harga 20 mau
Balas
Bagikan
1",https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:10Z,raw_data_run_20260922_123044_60fc56.csv,rec_4d2dd2703dc83510,False,"Harry Adi Pratama · 1hari Ada, harga 20 mau Balas Bagikan 1","harry adi pratama · 1hari ada, harga 20 mau balas bagikan 1",Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_edd4037bc5d59abc,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_1,1122336513701210,comment,,,2026-09-21,"Murah Bosssku 
Crank Guard Cover Pelindung Bawah Mesin BYD Atto 1 Type Premium Bahan Alumunium / Steel 
i… Lihat selengkapnya",https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:18Z,raw_data_run_20260922_123044_60fc56.csv,rec_edd4037bc5d59abc,False,Murah Bosssku Crank Guard Cover Pelindung Bawah Mesin BYD Atto 1 Type Premium Bahan Alumunium / Steel i… Lihat selengkapnya,murah bosssku crank guard cover pelindung bawah mesin byd atto 1 type premium bahan alumunium / steel i… lihat selengkapnya,Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_1f73b77e4cce6065,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_1,1122336513701210_comment_1,reply,,,2026-09-21,Kelasnya bapak bapak … Lihat selengkapnya,https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:26Z,raw_data_run_20260922_123044_60fc56.csv,rec_1f73b77e4cce6065,False,Kelasnya bapak bapak … Lihat selengkapnya,kelasnya bapak bapak … lihat selengkapnya,Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_b4cb478f859af488,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_2,1122336513701210,comment,,,2026-09-21,Kelasnya bapak bapak … Lihat selengkapnya,https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:31Z,raw_data_run_20260922_123044_60fc56.csv,rec_b4cb478f859af488,False,Kelasnya bapak bapak … Lihat selengkapnya,kelasnya bapak bapak … lihat selengkapnya,Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_b58d67df7dba8ea1,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_2,1122336513701210_comment_2,reply,,,2026-09-21,Kelasnya bapak bapak … Lihat selengkapnya,https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:38Z,raw_data_run_20260922_123044_60fc56.csv,rec_b58d67df7dba8ea1,False,Kelasnya bapak bapak … Lihat selengkapnya,kelasnya bapak bapak … lihat selengkapnya,Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_946db763fdbeca04,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_3,1122336513701210,comment,,,2026-09-21,"Halo om semua, adakah yang jual Bodykit J5 versi GIIAS?",https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:43Z,raw_data_run_20260922_123044_60fc56.csv,rec_946db763fdbeca04,False,"Halo om semua, adakah yang jual Bodykit J5 versi GIIAS?","halo om semua, adakah yang jual bodykit j5 versi giias?",Jaecoo J5,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_1045e93dc9b646a5,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_3,1122336513701210_comment_3,reply,,,2026-09-21,Kelasnya bapak bapak … Lihat selengkapnya,https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:51Z,raw_data_run_20260922_123044_60fc56.csv,rec_1045e93dc9b646a5,False,Kelasnya bapak bapak … Lihat selengkapnya,kelasnya bapak bapak … lihat selengkapnya,Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_095f86cfe71d40fd,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_4,1122336513701210,comment,,,2026-09-21,"Ada, harga 20 mau",https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:31:56Z,raw_data_run_20260922_123044_60fc56.csv,rec_095f86cfe71d40fd,False,"Ada, harga 20 mau","ada, harga 20 mau",Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_defa1615ffb3a8d3,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_4,1122336513701210_comment_4,reply,,,2026-09-21,Kelasnya bapak bapak … Lihat selengkapnya,https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:32:03Z,raw_data_run_20260922_123044_60fc56.csv,rec_defa1615ffb3a8d3,False,Kelasnya bapak bapak … Lihat selengkapnya,kelasnya bapak bapak … lihat selengkapnya,Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_9fedcde8fc73ce71,Jaecoo J5,Jaecoo J5 EV INDONESIA,https://www.facebook.com/groups/861576359777228,1122336513701210,1122336513701210_comment_5,1122336513701210,comment,,,2026-09-21,Otoproject ada,https://www.facebook.com/groups/861576359777228/posts/1122336513701210/?comment_id=1122880360313492&__cft__[0]=AZheJOopJ1cpfyf6FSoqAqlKIzmhJf-Z2QObB6NldzX9JJDwhjMOBJzHTrGOBiRcfBRNabU9yJukEvcyr4xGAcf_Aw4yE0ku3yOjS29VUqfAABBbewFoxnfujNIwcPDWaBoKID6Op6idHLI7vXlclEgZaCWC6qShBcNnovRvWlK0YWOSKfCVf-08Sw&__tn__=R-R,2026-09-22T05:32:08Z,raw_data_run_20260922_123044_60fc56.csv,rec_9fedcde8fc73ce71,False,Otoproject ada,otoproject ada,Jaecoo J5,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
