record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_dd12ce1ad469c7dd,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_2,post_2_comment_42,post_2,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:19:10Z,raw_data_run_20260918_101715_601a04.csv,rec_dd12ce1ad469c7dd,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_7c948904fa4a17a8,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_3,post_3_comment_42,post_3,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:19:59Z,raw_data_run_20260918_101715_601a04.csv,rec_7c948904fa4a17a8,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_ea003c88e06da3a1,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_4,post_4_comment_42,post_4,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:20:38Z,raw_data_run_20260918_101715_601a04.csv,rec_ea003c88e06da3a1,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_bf17bcb2dc0fdfdc,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_5,post_5_comment_42,post_5,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:21:17Z,raw_data_run_20260918_101715_601a04.csv,rec_bf17bcb2dc0fdfdc,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_3f7656dc581be9f1,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_6,post_6_comment_42,post_6,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:21:56Z,raw_data_run_20260918_101715_601a04.csv,rec_3f7656dc581be9f1,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_752a637f15925f20,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_7,post_7_comment_42,post_7,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:22:34Z,raw_data_run_20260918_101715_601a04.csv,rec_752a637f15925f20,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_791896f09db3f09c,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_8,post_8_comment_42,post_8,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:23:13Z,raw_data_run_20260918_101715_601a04.csv,rec_791896f09db3f09c,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_c975a655d033c4d8,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_9,post_9_comment_42,post_9,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:24:07Z,raw_data_run_20260918_101715_601a04.csv,rec_c975a655d033c4d8,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_0a8cb794c39b3fc7,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_10,post_10_comment_42,post_10,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:25:06Z,raw_data_run_20260918_101715_601a04.csv,rec_0a8cb794c39b3fc7,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_7729f1bab79ba9a3,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_11,post_11_comment_42,post_11,comment,,,,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,https://www.facebook.com/groups/921208719233043,2026-09-18T03:25:45Z,raw_data_run_20260918_101715_601a04.csv,rec_7729f1bab79ba9a3,False,TOYOTA VELOZ Q Modelista HYBRID… Lihat selengkapnya,toyota veloz q modelista hybrid… lihat selengkapnya,Toyota Veloz,medium,explicit_text_alias_strong_but_context_Toyota_Zenix,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
