record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_aed6efac0665d0bf,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,,,post,,,,"@ES TEH ONLY SJ
@YARIS TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA 
https://wa.me/62085137751296",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:05Z,raw_data_run_20260917_223451_d693b9.csv,rec_aed6efac0665d0bf,False,[mention] TEH ONLY SJ [mention] TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA [url],[mention] teh only sj [mention] trd s 2017 manual bebas lintas plat nempel harga 68juta saja lokasi pasuruan call wa [url],Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_10918c25aa282064,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_1,post_1,comment,,,,"@ES TEH ONLY SJ
@YARIS TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA 
https://wa.me/62085137751296",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:10Z,raw_data_run_20260917_223451_d693b9.csv,rec_10918c25aa282064,False,[mention] TEH ONLY SJ [mention] TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA [url],[mention] teh only sj [mention] trd s 2017 manual bebas lintas plat nempel harga 68juta saja lokasi pasuruan call wa [url],Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_6c62c0bef923f257,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_2,post_1,comment,,,,@ES TEH ONLY SJ,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv,rec_6c62c0bef923f257,False,[mention] TEH ONLY SJ,[mention] teh only sj,Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_ebb1c5fb635f10fc,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_3,post_1,comment,,,,"@YARIS TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA 
https://wa.me/62085137751296",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv,rec_ebb1c5fb635f10fc,False,[mention] TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA [url],[mention] trd s 2017 manual bebas lintas plat nempel harga 68juta saja lokasi pasuruan call wa [url],Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_b0a26597f9197626,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_4,post_1,comment,,,,Xmate karpet mobil Yaris Cross,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv,rec_b0a26597f9197626,False,Xmate karpet mobil Yaris Cross,xmate karpet mobil yaris cross,Toyota Yaris,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_5126886a85b19c8a,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_5,post_1,comment,,,,Mempererat dan memperluas hubungan silahturahmi antar sesama pengguna mobil Toyota Yaris Cross,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv,rec_5126886a85b19c8a,False,Mempererat dan memperluas hubungan silahturahmi antar sesama pengguna mobil Toyota Yaris Cross,mempererat dan memperluas hubungan silahturahmi antar sesama pengguna mobil toyota yaris cross,Toyota Yaris,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_3d3b2d25a35c4e3f,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_6,post_1,comment,,,,"dijual
New Yaris TRDSportivo 2018 Manual … Lihat selengkapnya",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv,rec_3d3b2d25a35c4e3f,False,dijual New Yaris TRDSportivo 2018 Manual … Lihat selengkapnya,dijual new yaris trdsportivo 2018 manual … lihat selengkapnya,Toyota Yaris,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_cfa72fc6a9b25015,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_7,post_1,comment,,,,dijual,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv,rec_cfa72fc6a9b25015,False,dijual,dijual,Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_b311c4ead6c2f999,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_8,post_1,comment,,,,New Yaris TRDSportivo 2018 Manual … Lihat selengkapnya,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv,rec_b311c4ead6c2f999,False,New Yaris TRDSportivo 2018 Manual … Lihat selengkapnya,new yaris trdsportivo 2018 manual … lihat selengkapnya,Toyota Yaris,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_2c8b4aff1d197f49,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_9,post_1,comment,,,,"FS Toyota Yaris Cross Hybrid GR TSS Black
Ijin kakak admin dan lainnya,
Mau jual mobil irit lincah keren ini
NIK 2024 atas nama CV milik sendiri
Lihat selengkapnya",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv,rec_2c8b4aff1d197f49,False,"FS Toyota Yaris Cross Hybrid GR TSS Black Ijin kakak admin dan lainnya, Mau jual mobil irit lincah keren ini NIK 2024 atas nama CV milik sendiri Lihat selengkapnya","fs toyota yaris cross hybrid gr tss black ijin kakak admin dan lainnya, mau jual mobil irit lincah keren ini nik 2024 atas nama cv milik sendiri lihat selengkapnya",Toyota Yaris,high,explicit_text_alias_strong,True,TSS,combined_adas,,True,uncertain,generic_adas_terms_only,low,UNKNOWN,not_stated,not_stated,uncertain,positive,not_stated,unclear,low
rec_ccfd2b4165b082ab,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_10,post_1,comment,,,,"Yaris Cross G 2024
Hitam
Surat² lengkap
Pajak on
Odo 27rban on-going… Lihat selengkapnya",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:16Z,raw_data_run_20260917_223451_d693b9.csv,rec_ccfd2b4165b082ab,False,Yaris Cross G 2024 Hitam Surat² lengkap Pajak on Odo 27rban on-going… Lihat selengkapnya,yaris cross g 2024 hitam surat² lengkap pajak on odo 27rban on-going… lihat selengkapnya,Toyota Yaris,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_e530870a7ed84e01,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_11,post_1,comment,,,,Yaris Cross G 2024,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:16Z,raw_data_run_20260917_223451_d693b9.csv,rec_e530870a7ed84e01,False,Yaris Cross G 2024,yaris cross g 2024,Toyota Yaris,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_d067b5693e5617f8,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_12,post_1,comment,,,,Hitam,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:16Z,raw_data_run_20260917_223451_d693b9.csv,rec_d067b5693e5617f8,False,Hitam,hitam,Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_c6d3e1a81b663c96,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_13,post_1,comment,,,,Surat² lengkap,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:16Z,raw_data_run_20260917_223451_d693b9.csv,rec_c6d3e1a81b663c96,False,Surat² lengkap,surat² lengkap,Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_26e8a45c6e0214fe,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_14,post_1,comment,,,,Pajak on,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:16Z,raw_data_run_20260917_223451_d693b9.csv,rec_26e8a45c6e0214fe,False,Pajak on,pajak on,Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_81f21cb2d8345090,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_15,post_1,comment,,,,Odo 27rban on-going… Lihat selengkapnya,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:16Z,raw_data_run_20260917_223451_d693b9.csv,rec_81f21cb2d8345090,False,Odo 27rban on-going… Lihat selengkapnya,odo 27rban on-going… lihat selengkapnya,Toyota Yaris,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
