record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_fe733608439c8fb0,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,,,post,,,,"TINGKATKAN FASILITAS TEMPAT KERJA ANDA DENGAN EV-CHARGER
Sediakan fasilitas charging kendaraan listrik untuk karyawan, tamu, maupun kendaraan operasional perusahaan sekarang juga
lebih nyaman
lebih praktis
Lihat selengkapnya",https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:33Z,raw_data_run_20260918_101427_89744d.csv,rec_fe733608439c8fb0,False,"TINGKATKAN FASILITAS TEMPAT KERJA ANDA DENGAN EV-CHARGER Sediakan fasilitas charging kendaraan listrik untuk karyawan, tamu, maupun kendaraan operasional perusahaan sekarang juga lebih nyaman lebih praktis Lihat selengkapnya","tingkatkan fasilitas tempat kerja anda dengan ev-charger sediakan fasilitas charging kendaraan listrik untuk karyawan, tamu, maupun kendaraan operasional perusahaan sekarang juga lebih nyaman lebih praktis lihat selengkapnya",XPeng G6,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_b42063610034fdaf,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_1,post_10,comment,,,,"https://s.shopee.co.id/W6dOxxKL8 Xmate Karpet Mobil Xpeng X9 2025-Sekarang Bahan TPE Premium 100% Presisi, Plug and Play, Anti Air, Anti Bakteri, Garansi 10 Tahun Ganti Baru",https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:37Z,raw_data_run_20260918_101427_89744d.csv,rec_b42063610034fdaf,False,"[url] Xmate Karpet Mobil Xpeng X9 2025-Sekarang Bahan TPE Premium 100% Presisi, Plug and Play, Anti Air, Anti Bakteri, Garansi 10 Tahun Ganti Baru","[url] xmate karpet mobil xpeng x9 2025-sekarang bahan tpe premium 100% presisi, plug and play, anti air, anti bakteri, garansi 10 tahun ganti baru",XPeng G6,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_23b8d22ef8a841e6,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_2,post_10,comment,,,,"Hi G6 Fam! 
Karena pengguna XPENG G6 di Indonesia masih belum terlalu banyak, rasanya sayang kalau kita yang punya G6 jalan sendiri-sendiri 
Jadi, saya bermaksud untuk para G6 owners & enthusiasts dalam satu community: G6 Society Indonesia 
Biar… Lihat selengkapnya",https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:38Z,raw_data_run_20260918_101427_89744d.csv,rec_23b8d22ef8a841e6,False,"Hi G6 Fam! Karena pengguna XPENG G6 di Indonesia masih belum terlalu banyak, rasanya sayang kalau kita yang punya G6 jalan sendiri-sendiri Jadi, saya bermaksud untuk para G6 owners & enthusiasts dalam satu community: G6 Society Indonesia Biar… Lihat selengkapnya","hi g6 fam! karena pengguna xpeng g6 di indonesia masih belum terlalu banyak, rasanya sayang kalau kita yang punya g6 jalan sendiri-sendiri jadi, saya bermaksud untuk para g6 owners & enthusiasts dalam satu community: g6 society indonesia biar… lihat selengkapnya",XPeng G6,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_46fd5ff901c60de3,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_3,post_10,comment,,,,Hi G6 Fam!,https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:38Z,raw_data_run_20260918_101427_89744d.csv,rec_46fd5ff901c60de3,False,Hi G6 Fam!,hi g6 fam!,XPeng G6,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_ed3d755845086dd9,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_4,post_10,comment,,,,"Karena pengguna XPENG G6 di Indonesia masih belum terlalu banyak, rasanya sayang kalau kita yang punya G6 jalan sendiri-sendiri",https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:38Z,raw_data_run_20260918_101427_89744d.csv,rec_ed3d755845086dd9,False,"Karena pengguna XPENG G6 di Indonesia masih belum terlalu banyak, rasanya sayang kalau kita yang punya G6 jalan sendiri-sendiri","karena pengguna xpeng g6 di indonesia masih belum terlalu banyak, rasanya sayang kalau kita yang punya g6 jalan sendiri-sendiri",XPeng G6,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_d4b0371075e2957a,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_5,post_10,comment,,,,"Jadi, saya bermaksud untuk para G6 owners & enthusiasts dalam satu community: G6 Society Indonesia",https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:38Z,raw_data_run_20260918_101427_89744d.csv,rec_d4b0371075e2957a,False,"Jadi, saya bermaksud untuk para G6 owners & enthusiasts dalam satu community: G6 Society Indonesia","jadi, saya bermaksud untuk para g6 owners & enthusiasts dalam satu community: g6 society indonesia",XPeng G6,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_e482dadec929ff79,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_6,post_10,comment,,,,Biar… Lihat selengkapnya,https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:38Z,raw_data_run_20260918_101427_89744d.csv,rec_e482dadec929ff79,False,Biar… Lihat selengkapnya,biar… lihat selengkapnya,XPeng G6,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_83ab4c0767661e8a,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_7,post_10,comment,,,,Forum for G6 Owners in Indonesia to share experience.,https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:38Z,raw_data_run_20260918_101427_89744d.csv,rec_83ab4c0767661e8a,False,Forum for G6 Owners in Indonesia to share experience.,forum for g6 owners in indonesia to share experience.,XPeng G6,high,explicit_text_alias_strong,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_d9302d5c5a1a3673,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_8,post_10,comment,,,,"https://s.shopee.co.id/3Vk7dlAkeO Xmate Karpet Mobil Xpeng X9 2025-Sekarang Bahan TPE Premium 100% Presisi, Plug and Play, Anti Air, Anti Bakteri, Garansi 10 Tahun Ganti Baru",https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:39Z,raw_data_run_20260918_101427_89744d.csv,rec_d9302d5c5a1a3673,False,"[url] Xmate Karpet Mobil Xpeng X9 2025-Sekarang Bahan TPE Premium 100% Presisi, Plug and Play, Anti Air, Anti Bakteri, Garansi 10 Tahun Ganti Baru","[url] xmate karpet mobil xpeng x9 2025-sekarang bahan tpe premium 100% presisi, plug and play, anti air, anti bakteri, garansi 10 tahun ganti baru",XPeng G6,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
rec_b781c69be6e4f0de,XPeng G6,Xpeng G6 Indonesia,https://www.facebook.com/groups/1757639348184159,post_10,post_10_comment_9,post_10,comment,,,,"#fyp
#foryoupage… Lihat selengkapnya",https://www.facebook.com/groups/1757639348184159,2026-09-18T03:15:41Z,raw_data_run_20260918_101427_89744d.csv,rec_b781c69be6e4f0de,False,#fyp #foryoupage… Lihat selengkapnya,#fyp #foryoupage… lihat selengkapnya,XPeng G6,medium,community_context,False,,,,False,not_relevant,no_adas_keyword,,UNKNOWN,,,,,,,
