record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin
rec_aed6efac0665d0bf,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,,,post,,,,"@ES TEH ONLY SJ
@YARIS TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA 
https://wa.me/62085137751296",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:05Z,raw_data_run_20260917_223451_d693b9.csv
rec_10918c25aa282064,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_1,post_1,comment,,,,"@ES TEH ONLY SJ
@YARIS TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA 
https://wa.me/62085137751296",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:10Z,raw_data_run_20260917_223451_d693b9.csv
rec_6c62c0bef923f257,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_2,post_1,comment,,,,@ES TEH ONLY SJ,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv
rec_ebb1c5fb635f10fc,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_3,post_1,comment,,,,"@YARIS TRD S 2017 MANUAL BEBAS LINTAS PLAT NEMPEL HARGA 68JUTA SAJA LOKASI PASURUAN CALL WA 
https://wa.me/62085137751296",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv
rec_b0a26597f9197626,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_4,post_1,comment,,,,Xmate karpet mobil Yaris Cross,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv
rec_5126886a85b19c8a,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_5,post_1,comment,,,,Mempererat dan memperluas hubungan silahturahmi antar sesama pengguna mobil Toyota Yaris Cross,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:11Z,raw_data_run_20260917_223451_d693b9.csv
rec_3d3b2d25a35c4e3f,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_6,post_1,comment,,,,"dijual
New Yaris TRDSportivo 2018 Manual … Lihat selengkapnya",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv
rec_cfa72fc6a9b25015,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_7,post_1,comment,,,,dijual,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv
rec_b311c4ead6c2f999,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_8,post_1,comment,,,,New Yaris TRDSportivo 2018 Manual … Lihat selengkapnya,https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv
rec_2c8b4aff1d197f49,Toyota Yaris,Yaris Cross Community Indonesia (YCCI),https://www.facebook.com/groups/331613226681705,post_1,post_1_comment_9,post_1,comment,,,,"FS Toyota Yaris Cross Hybrid GR TSS Black
Ijin kakak admin dan lainnya,
Mau jual mobil irit lincah keren ini
NIK 2024 atas nama CV milik sendiri
Lihat selengkapnya",https://www.facebook.com/groups/331613226681705,2026-09-17T15:35:12Z,raw_data_run_20260917_223451_d693b9.csv
