record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_d424f5605fcaf0d8,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_2,post_2_comment_55,post_2,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:19:20Z,raw_data_run_20260918_101715_601a04.csv,rec_d424f5605fcaf0d8,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_129361c34e460f80,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_3,post_3_comment_55,post_3,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:20:09Z,raw_data_run_20260918_101715_601a04.csv,rec_129361c34e460f80,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_ec229cc3c4910a41,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_4,post_4_comment_55,post_4,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:20:47Z,raw_data_run_20260918_101715_601a04.csv,rec_ec229cc3c4910a41,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_11e6acf46a787f63,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_5,post_5_comment_55,post_5,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:21:27Z,raw_data_run_20260918_101715_601a04.csv,rec_11e6acf46a787f63,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_16897f146da2d2ca,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_6,post_6_comment_55,post_6,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:22:06Z,raw_data_run_20260918_101715_601a04.csv,rec_16897f146da2d2ca,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_f8a58be753774bd4,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_7,post_7_comment_55,post_7,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:22:44Z,raw_data_run_20260918_101715_601a04.csv,rec_f8a58be753774bd4,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_371c5d27af2547f7,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_8,post_8_comment_55,post_8,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:23:23Z,raw_data_run_20260918_101715_601a04.csv,rec_371c5d27af2547f7,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_0e94246a43cfecf7,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_9,post_9_comment_55,post_9,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:24:17Z,raw_data_run_20260918_101715_601a04.csv,rec_0e94246a43cfecf7,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_8892e05d8a75a365,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_10,post_10_comment_55,post_10,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:25:16Z,raw_data_run_20260918_101715_601a04.csv,rec_8892e05d8a75a365,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
rec_2db94c4544375c40,Toyota Zenix,Toyota Zenix owners Indonesia,https://www.facebook.com/groups/921208719233043,post_11,post_11_comment_55,post_11,comment,,,,"Tombol power window gak ada lampunya, belum ada cruise control",https://www.facebook.com/groups/921208719233043,2026-09-18T03:25:55Z,raw_data_run_20260918_101715_601a04.csv,rec_2db94c4544375c40,False,"Tombol power window gak ada lampunya, belum ada cruise control","tombol power window gak ada lampunya, belum ada cruise control",Toyota Zenix,medium,community_context,True,Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,question,neutral,not_stated,unclear,high
